分店,地址,最近星巴克,距離(m),星巴克地址,WG經緯度,星巴克經緯度
World Gym台北內湖店,台北市內湖區康寧路三段72號,星巴克 康寧門市,5.3,114臺北市內湖區康寧路三段72號,"25.0699943,121.6114389","25.0699526,121.6114144"
World Gym台南FOCUS店,台南市中西區中山路166號,星巴克 台南門市,12.4,700臺南市中西區中山路166號,"22.9956055,120.2102019","22.995496799999998,120.21022740000001"
World Gym台北民生店,台北市松山區民生東路三段156號,統一星巴克 宏泰門市,13.1,105臺北市松山區民生東路三段156-1號,"25.0573596,121.5477531","25.0573132,121.54763390000001"
World Gym台北民權東店,台北市中山區民權東路三段72號,Starbucks 星巴克民權門市,14.5,10491臺北市中山區民權東路三段88號1、2樓,"25.0618723,121.5438284","25.0619794,121.54374609999999"
World Gym中壢中山店,桃園市中壢區中山路136號,星巴克 復興門市,21.3,320桃園市中壢區中山路138號,"24.9559414,121.2250089","24.9559727,121.22480009999998"
台南海安店,台南市北區海安路三段731號,星巴克 海安和緯門市,22.4,704臺南市北區海安路三段727號,"23.0121078,120.2002143","23.0119151,120.2002778"
World Gym桃園內壢店,桃園市中壢區中華路一段667號,星巴克 內壢中華門市,25.9,320桃園市中壢區中華路一段669號,"24.9690493,121.2503736","24.968856499999998,121.25022879999999"
World Gym台北寧夏店,台北市大同區寧夏路11號,STARBUCKS 星巴克 (台北圓環門市),28.3,103臺北市大同區南京西路288號,"25.0541531,121.514088","25.053926999999998,121.513958"
World Gym宜蘭友愛店,宜蘭縣宜蘭市舊城東路50號,星巴克 Starbucks 宜蘭門市,29.9,260宜蘭縣宜蘭市舊城東路56號,"24.757793,121.756604","24.758021799999998,121.7567591"
World Gym台南善化店,台南市善化區中正路332號,Starbucks星巴克台南善化門市,33.0,741臺南市善化區大同路2號,"23.1268554,120.2941051","23.1270055,120.293827"
World Gym台北木柵店,台北市文山區木柵路3段96號,星巴克 木柵門市,40.1,116臺北市文山區木柵路三段75號,"24.9885015,121.5672288","24.988721599999998,121.56691400000001"
World Gym新北土城店,新北市土城區青雲路152號,星巴克 土城門市,43.5,236新北市土城區青雲路152號,"24.9833595,121.4589232","24.9831458,121.45856219999999"
World Gym新北林口店,桃園市龜山區復興一路222號,星巴克 （林口門市）,51.8,330桃園市龜山區復興一路202號,"25.057701,121.3654751","25.0579625,121.36590029999999"
World Gym宜蘭羅東店,宜蘭縣羅東鎮興東路85號,星巴克 （羅東門市）,54.8,265宜蘭縣羅東鎮興東路97號,"24.6783311,121.7684031","24.6787892,121.76860359999999"
World Gym高雄SOGO店,高雄市前鎮區三多三路217號,星巴克 高雄三多門市,57.7,802高雄市苓雅區三多三路234號,"22.614256,120.3061989","22.614752,120.30636299999999"
World Gym新北板橋府中店,新北市板橋區中山路一段10號,星巴克 板中門市,57.7,220新北市板橋區中山路一段15號,"25.0078573,121.460188","25.0083622,121.4600574"
World Gym台北大安店,台北市大安區信義路四段6號,STARBUCKS 星巴克 (興南門市),59.8,106臺北市大安區復興南路一段323號,"25.0331714,121.544094","25.0336321,121.54378840000001"
World Gym新北北新莊店,新北市新莊區幸福路778號,STARBUCKS 星巴克 (新莊門市),62.2,242新北市新莊區幸福路763-3 號1F 之 1,"25.0494318,121.4471942","25.0490002,121.447587"
World Gym桃園南崁店,桃園市蘆竹區南崁路265號,星巴克 南崁門市,69.0,338桃園市蘆竹區南山路一段2-5號,"25.0494816,121.2926285","25.049444400000002,121.29194439999998"
